track_id,taala,beat_F,beat_CMLt,beat_AMLt,downbeat_F,downbeat_CMLt,downbeat_AMLt
10001,adi,0.5520692817740317,0.30882602718181534,0.30882602718181534,0.3049242424242424,0.0187268518518518,0.3630555555555555
10002,adi,0.6855979561469129,0.3588459607930621,0.39816444047851424,0.33868557538282307,0.0,0.24857917647898378
10003,adi,0.9076485631436748,0.8718289622305777,0.8718289622305777,0.38826273932891037,0.0017452006980802667,0.20993763940805144
10004,adi,0.8902485234534175,0.8404645723807027,0.8404645723807027,0.5319246109143693,0.0028190245581549665,0.7587477777234594
10005,adi,0.9842853688044885,0.9871618582365135,0.9871618582365135,0.6489193153489441,0.005725357018460432,0.9296536796536796
10006,adi,0.854439291881747,0.6686627489160349,0.6686627489160349,0.4128714796368585,0.0035087719298245337,0.5086251342642321
10007,adi,0.8907248326865006,0.8471696219033985,0.8471696219033985,0.574853705063077,0.003546099290780133,0.8094103018383368
10008,adi,0.8305667301294295,0.8001150282701556,0.8001150282701556,0.4344266942605639,0.0,0.4472947685566501
10009,adi,0.8589617401834339,0.8198045218310269,0.8198045218310269,0.5160503860219423,0.0,0.6332774752129591
10010,adi,0.7261848304020427,0.4801451769082406,0.4801451769082406,0.3344743107546342,0.0009310986964618,0.23356844893157738
10011,adi,0.7735992793709285,0.7583853757845334,0.7583853757845334,0.4163238600374477,0.0110087739100335,0.6157764835131759
10012,adi,0.8169468455002411,0.6415813403765211,0.6415813403765211,0.40037924540554576,0.0052380952380952335,0.3063000597728631
10013,adi,0.9440022459809314,0.8985460016136129,0.8985460016136129,0.4928235178879075,0.0,0.5142266980373351
10014,adi,0.6844588186088091,0.05905205905205899,0.883471662207484,0.779558228540186,0.49362284820031294,0.49362284820031294
10015,adi,0.9715750304734533,0.9864787075507607,0.9864787075507607,0.5475524475524475,0.009147869674185433,0.687092731829574
10016,adi,0.9854961841276458,0.9906188646094769,0.9906188646094769,0.651535814013897,0.0028735632183908,0.9378682507485753
10017,adi,0.9203649157257404,0.7455422306682946,0.7455422306682946,0.5648284870513403,0.003875968992248033,0.584024050884516
