track_id,taala,beat_F-measure,beat_Cemgil,beat_Cemgil Best Metric Level,beat_Goto,beat_P-score,beat_Correct Metric Level Continuous,beat_Correct Metric Level Total,beat_Any Metric Level Continuous,beat_Any Metric Level Total,beat_Information gain,downbeat_F-measure,downbeat_Cemgil,downbeat_Cemgil Best Metric Level,downbeat_Goto,downbeat_P-score,downbeat_Correct Metric Level Continuous,downbeat_Correct Metric Level Total,downbeat_Any Metric Level Continuous,downbeat_Any Metric Level Total,downbeat_Information gain
10003,adi,0.9557894736842105,0.8530107210590279,0.8530107210590279,1.0,1.0,0.6884210526315789,0.9957894736842106,0.6884210526315789,0.9957894736842106,0.5618981336772617,0.9333333333333333,0.88064164341615,0.88064164341615,1.0,1.0,1.0,1.0,1.0,1.0,0.9239494935434152
10004,adi,0.8459657701711492,0.7980498106993965,0.7980498106993965,1.0,0.8581907090464548,0.42665036674816625,0.8520782396088019,0.42665036674816625,0.8520782396088019,0.4678262596569103,0.8543689320388349,0.806828771130345,0.806828771130345,1.0,1.0,1.0,1.0,1.0,1.0,0.8261866581079
10006,adi,0.684596577017115,0.6433221490860352,0.8131000833024449,1.0,0.573076923076923,0.15,0.15,0.2907563025210084,0.6857142857142857,0.39833189546377384,0.46601941747572817,0.4441311940294685,0.7165045571903852,0.0,0.4307692307692308,0.0,0.0,0.7333333333333333,0.7333333333333333,0.6611997588930391
10007,adi,0.9599406528189911,0.884079072297611,0.884079072297611,1.0,0.9807121661721068,0.6216617210682492,0.973293768545994,0.6216617210682492,0.973293768545994,0.5446342439442722,0.9647058823529412,0.9109891569158827,0.9109891569158827,1.0,1.0,1.0,1.0,1.0,1.0,0.9528341100682959
10008,adi,0.7791239515377446,0.7378175467290244,0.7378175467290244,1.0,0.7571428571428571,0.48392857142857143,0.6767857142857143,0.48392857142857143,0.6767857142857143,0.4315325300129124,0.7910447761194029,0.7418283049224046,0.7418283049224046,1.0,0.9142857142857143,0.6857142857142857,0.7,0.6857142857142857,0.7,0.7691167113240567
10010,adi,0.8161383285302594,0.7501314890974751,0.7501314890974751,0.0,0.8558352402745996,0.2288329519450801,0.799771167048055,0.2288329519450801,0.799771167048055,0.38667493036854134,0.7981651376146789,0.7313484931086984,0.7313484931086984,1.0,0.8818181818181818,0.5363636363636364,0.8454545454545455,0.5363636363636364,0.8454545454545455,0.7017277082934246
10012,adi,0.6081632653061224,0.517706749334528,0.7906578421601029,0.0,0.5,0.0,0.0,0.06938775510204082,0.9275510204081633,0.3413805968236465,0.6120218579234973,0.5310972071256893,0.7216930648056394,0.0,0.5,0.0,0.0,0.9918032786885246,0.9918032786885246,0.7054188571042274
10013,adi,0.9946236559139785,0.9395700897641036,0.9395700897641036,1.0,1.0,1.0,1.0,1.0,1.0,0.657408046807449,1.0,0.9678457226580116,0.9678457226580116,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10017,adi,0.6644370122630993,0.6177074796146425,0.9272939369636758,0.0,0.5,0.0,0.0,0.9648829431438127,0.9949832775919732,0.47220239038760686,0.6725663716814159,0.639472441543161,0.8565423601707238,0.0,0.5066666666666667,0.0,0.0,1.0,1.0,0.722506372806413
10019,adi,0.8820717131474103,0.8003318997534407,0.8003318997534407,1.0,0.9229547259729944,0.4924543288324067,0.8927720413026211,0.4924543288324067,0.8927720413026211,0.4110245204887042,0.9015873015873016,0.8600061875061136,0.8600061875061136,1.0,0.9810126582278481,0.9367088607594937,0.9746835443037974,0.9367088607594937,0.9746835443037974,0.8578030669510267
10022,adi,0.6055646481178396,0.5457932202901314,0.8247338462354432,0.0,0.4852941176470588,0.0,0.0,0.27450980392156865,0.9019607843137255,0.33275445755607913,0.6493506493506493,0.5695013140797786,0.7454752965673486,0.0,0.5098039215686274,0.0,0.0,1.0,1.0,0.6827822586905428
10023,adi,0.6556564822460776,0.6143784030009828,0.9242919917838502,0.0,0.5006195786864932,0.0,0.0,0.5328376703841388,0.9838909541511772,0.4844734331094837,0.6578947368421052,0.6126756055156047,0.8591790971584481,0.0,0.504950495049505,0.0,0.0,1.0,1.0,0.7166712243097692
10024,adi,0.7753623188405797,0.6962657215850246,0.6962657215850246,1.0,0.8188405797101449,0.5652173913043478,0.8079710144927537,0.5652173913043478,0.8079710144927537,0.3645748332690915,0.0,0.0,0.6725786924844733,0.0,0.0,0.0,0.0,1.0,1.0,0.6910512172827784
10025,adi,0.6292682926829267,0.5897936465021809,0.7832837294087139,0.0,0.5272373540856031,0.07587548638132295,0.11284046692607004,0.3436988543371522,0.6710310965630114,0.3846104935640797,0.5048543689320388,0.48691767345791714,0.6256288310029265,0.0,0.40625,0.0,0.0,0.5974025974025974,0.6623376623376623,0.5861079457562764
10028,adi,0.8914590747330962,0.8409044357518409,0.8409044357518409,1.0,0.8421926910299004,0.6411960132890365,0.7109634551495017,0.6411960132890365,0.7109634551495017,0.5158411555355943,0.8873239436619719,0.824276952475419,0.824276952475419,1.0,0.868421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.8098658894454437
10030,adi,0.9893992932862191,0.9296405922510163,0.9296405922510163,1.0,1.0,1.0,1.0,1.0,1.0,0.6766158781079165,1.0,0.9459645452478005,0.9459645452478005,1.0,1.0,1.0,1.0,1.0,1.0,1.0
